niche,query,intent,demand_estimate,competition_estimate,priority,confidence,notes
jc-nyc-kids-activities,Jersey City playgrounds with bathrooms,local guide,low,medium,medium,low,logistics gap
jc-nyc-kids-activities,kids activities near Grove Street PATH,local guide,low,medium,high,low,transit angle
jc-nyc-kids-activities,kids activities near Newport Jersey City,local guide,low,medium,medium,low,neighborhood
jc-nyc-kids-activities,kids activities near Journal Square,local guide,low,medium,medium,low,neighborhood
jc-nyc-kids-activities,toddler activities downtown Jersey City,local guide,low,medium,medium,low,neighborhood
jc-nyc-kids-activities,Jersey City Heights kids activities,local guide,low,medium,medium,low,neighborhood
jc-nyc-kids-activities,Liberty State Park with toddlers,place review,medium,medium,high,low,firsthand review
jc-nyc-kids-activities,Liberty State Park with 4 year old,place review,low,medium,high,low,age-specific
jc-nyc-kids-activities,Liberty Science Center with 4 year old,place review,medium,medium,high,low,strong page
jc-nyc-kids-activities,is Liberty Science Center good for toddlers,place review,medium,medium,high,low,decision query
jc-nyc-kids-activities,Jersey City splash pad kids,local guide,medium,medium,medium,low,seasonal
jc-nyc-kids-activities,Jersey City water play for kids,local guide,medium,medium,medium,low,seasonal
jc-nyc-kids-activities,Jersey City storytime for toddlers,local guide,medium,medium,medium,low,library angle
jc-nyc-kids-activities,Jersey City library storytime kids,local guide,medium,low,medium,low,official pages rank
jc-nyc-kids-activities,Jersey City kids classes age 4,local guide,medium,medium,medium,low,commercial
jc-nyc-kids-activities,Jersey City gymnastics for toddlers,local guide,medium,medium,medium,low,commercial
jc-nyc-kids-activities,Jersey City art classes for preschoolers,local guide,medium,medium,medium,low,commercial
jc-nyc-kids-activities,Jersey City music classes for toddlers,local guide,medium,medium,medium,low,commercial
jc-nyc-kids-activities,Jersey City birthday party places for 4 year olds,local guide,medium,high,medium,low,commercial crowded
jc-nyc-kids-activities,Jersey City indoor playground toddlers,local guide,medium,medium,high,low,parent need
jc-nyc-kids-activities,Jersey City trampoline park toddlers,local guide,medium,medium,medium,low,safety notes
jc-nyc-kids-activities,Hoboken kids activities for toddlers,local guide,medium,medium,medium,low,nearby expansion
jc-nyc-kids-activities,Hoboken playgrounds for toddlers,local guide,medium,medium,medium,low,nearby expansion
jc-nyc-kids-activities,Hoboken rainy day kids activities,local guide,medium,medium,medium,low,nearby expansion
jc-nyc-kids-activities,Hoboken indoor activities for 4 year olds,local guide,low,medium,medium,low,nearby expansion
jc-nyc-kids-activities,things to do with kids near Hoboken PATH,local guide,low,medium,medium,low,transit angle
jc-nyc-kids-activities,NYC activities for 4 year olds,local guide,high,high,medium,low,big competition
jc-nyc-kids-activities,best NYC museums for 4 year olds,local guide,high,high,medium,low,big competition
jc-nyc-kids-activities,stroller friendly NYC museums preschoolers,local guide,medium,medium,high,low,logistics gap
jc-nyc-kids-activities,free NYC activities for preschoolers,local guide,high,high,medium,low,broad
jc-nyc-kids-activities,rainy day activities NYC 4 year old,local guide,high,high,medium,low,broad
jc-nyc-kids-activities,car free kids activities from Jersey City,local guide,low,medium,high,low,differentiated
jc-nyc-kids-activities,NYC kids activities by PATH train,local guide,low,medium,high,low,differentiated
jc-nyc-kids-activities,things to do with kids near WTC PATH,local guide,low,medium,medium,low,transit
jc-nyc-kids-activities,things to do with kids near 33rd street PATH,local guide,low,medium,medium,low,transit
jc-nyc-kids-activities,weekend kids activities Jersey City,local events,medium,medium,medium,low,freshness burden
jc-nyc-kids-activities,Jersey City kids events this weekend,local events,medium,medium,medium,low,freshness burden
jc-nyc-kids-activities,Jersey City family events today,local events,medium,medium,low,low,maintenance heavy
jc-nyc-kids-activities,NYC kids events this weekend preschoolers,local events,high,high,low,low,crowded and fresh
jc-nyc-kids-activities,Jersey City winter activities kids,seasonal guide,medium,medium,medium,low,seasonal
jc-nyc-kids-activities,Jersey City summer activities kids,seasonal guide,medium,medium,medium,low,seasonal
jc-nyc-kids-activities,Jersey City fall activities kids,seasonal guide,medium,medium,medium,low,seasonal
jc-nyc-kids-activities,Jersey City holiday activities kids,seasonal guide,medium,medium,medium,low,seasonal
jc-nyc-kids-activities,preschooler friendly restaurants Jersey City,local guide,medium,medium,medium,low,related utility
jc-nyc-kids-activities,kid friendly restaurants near Jersey City playgrounds,local guide,low,medium,medium,low,differentiated
jc-nyc-kids-activities,bathrooms near Jersey City playgrounds,local utility,low,low,medium,low,useful but low demand
jc-nyc-kids-activities,half day itinerary Jersey City with kids,itinerary,low,medium,high,low,good parent utility
jc-nyc-kids-activities,Liberty State Park itinerary with preschooler,itinerary,low,medium,high,low,strong review
jc-nyc-kids-activities,ferry activities for kids from Jersey City,itinerary,low,medium,medium,low,differentiated
jc-nyc-kids-activities,Jersey City to Governors Island with kids,itinerary,low,medium,medium,low,seasonal
jc-nyc-kids-activities,Jersey City to Children's Museum Manhattan with kids,itinerary,low,medium,medium,low,route utility
jc-nyc-kids-activities,Jersey City activities after preschool,local guide,low,medium,medium,low,parent use case
jc-nyc-kids-activities,quiet kids activities Jersey City,local guide,low,medium,medium,low,sensory angle
jc-nyc-kids-activities,sensory friendly kids activities Jersey City,local guide,low,medium,medium,low,sensitive accuracy
jc-nyc-kids-activities,Jersey City nature activities for preschoolers,local guide,low,medium,medium,low,nature angle
jc-nyc-kids-activities,Jersey City train activities for kids,local guide,low,medium,medium,low,child interest
jc-nyc-kids-activities,Jersey City parks for preschoolers,local guide,medium,medium,high,low,core
jc-nyc-kids-activities,Jersey City museums for kids,local guide,medium,medium,medium,low,core
jc-nyc-kids-activities,Jersey City animal activities for kids,local guide,low,medium,low,low,may be thin
jc-nyc-kids-activities,Jersey City play spaces for toddlers,local guide,medium,medium,high,low,core
jc-nyc-kids-activities,best activities for preschoolers near Jersey City,local guide,medium,medium,high,low,broad local
jc-nyc-kids-activities,best day trips from Jersey City with kids,local guide,medium,medium,medium,low,bigger radius
jc-nyc-kids-activities,things to do with a 4 year old near Jersey City,local guide,medium,medium,high,low,strong age intent
jc-nyc-kids-activities,best stroller friendly activities Jersey City kids,local guide,low,medium,medium,low,logistics angle
jc-nyc-kids-activities,Jersey City activities for kids without a car,local guide,low,medium,high,low,transit utility
jc-nyc-kids-activities,best preschooler friendly outings near Jersey City,local guide,low,medium,high,low,age and local
explain-like-4,how to explain electricity to a 4 year old,script,medium,medium,high,low,safe everyday topic
explain-like-4,how to explain thunder to a 4 year old,script,medium,medium,high,low,weather fear
explain-like-4,how to explain lightning to a preschooler,script,medium,medium,high,low,weather fear
explain-like-4,how to explain rain to a 4 year old,script,medium,medium,medium,low,easy demo
explain-like-4,how to explain snow to a preschooler,script,medium,medium,medium,low,seasonal
explain-like-4,how to explain wind to a child,script,medium,medium,medium,low,easy demo
explain-like-4,how to explain shadows to a 4 year old,script,low,medium,medium,low,easy demo
explain-like-4,how to explain magnets to a 4 year old,script,low,medium,medium,low,activity pairing
explain-like-4,how to explain floating and sinking to preschoolers,script,medium,medium,medium,low,science overlap
explain-like-4,how to explain gravity to a 4 year old,script,medium,medium,medium,low,science
explain-like-4,how to explain money to a 4 year old,script,medium,high,high,low,finance competition
explain-like-4,how to explain debit card to a child,script,low,medium,medium,low,parent context
explain-like-4,how to explain why adults work to a child,script,low,medium,medium,low,everyday
explain-like-4,how to explain bills to a 4 year old,script,low,medium,medium,low,parent context
explain-like-4,how to explain saving money to preschoolers,script,medium,medium,medium,low,finance education
explain-like-4,how to explain buying things to a preschooler,script,low,medium,medium,low,everyday
explain-like-4,how to explain credit cards to kids simply,script,medium,high,low,low,finance sites
explain-like-4,how to explain sharing to a 4 year old,script,medium,high,high,low,common parent pain
explain-like-4,how to explain taking turns to a preschooler,script,medium,medium,high,low,practical
explain-like-4,how to explain waiting to a 4 year old,script,medium,medium,high,low,practical
explain-like-4,how to explain rules to a preschooler,script,medium,medium,medium,low,behavior
explain-like-4,how to explain kindness to a 4 year old,script,medium,medium,medium,low,values
explain-like-4,how to explain lying to a 4 year old,script,medium,high,medium,low,sensitive behavior
explain-like-4,how to explain losing a game to a child,script,medium,medium,medium,low,practical
explain-like-4,how to explain big feelings to a 4 year old,script,medium,high,medium,low,mental health adjacent
explain-like-4,how to explain anger to a preschooler,script,medium,high,medium,low,emotions
explain-like-4,how to explain sadness to a 4 year old,script,medium,high,medium,low,emotions
explain-like-4,how to explain jealousy to a child,script,low,medium,low,low,maybe lower demand
explain-like-4,how to explain privacy to a 4 year old,script,medium,high,medium,low,safety sensitive
explain-like-4,how to explain consent to a preschooler,script,medium,high,low,low,sensitive expert review
explain-like-4,how to explain body safety to a 4 year old,script,medium,high,low,low,sensitive expert review
explain-like-4,how to explain where babies come from to a 4 year old,script,medium,high,low,low,sensitive
explain-like-4,how to explain death to a 4 year old,script,high,high,low,low,trust heavy
explain-like-4,how to explain pet death to a preschooler,script,medium,high,low,low,trust heavy
explain-like-4,how to explain divorce to a 4 year old,script,medium,high,low,low,trust heavy
explain-like-4,how to explain illness to a 4 year old,script,medium,high,low,low,medical adjacent
explain-like-4,how to explain doctor visit to a 4 year old,script,medium,medium,medium,low,practical
explain-like-4,how to explain shots to a 4 year old,script,medium,high,medium,low,medical adjacent
explain-like-4,how to explain germs to a 4 year old,script,medium,high,medium,low,health adjacent
explain-like-4,how to explain washing hands to preschoolers,script,medium,medium,medium,low,practical
explain-like-4,how to explain brushing teeth to a 4 year old,script,medium,medium,medium,low,practical
explain-like-4,how to explain healthy food to preschoolers,script,medium,high,low,low,nutrition adjacent
explain-like-4,how to explain sleep to a 4 year old,script,medium,medium,medium,low,everyday
explain-like-4,how to explain bedtime to a 4 year old,script,medium,high,medium,low,parent pain
explain-like-4,how to explain time to a 4 year old,script,medium,medium,high,low,practical
explain-like-4,how to explain tomorrow to a preschooler,script,low,medium,medium,low,time concept
explain-like-4,how to explain minutes to a 4 year old,script,low,medium,medium,low,time concept
explain-like-4,how to explain birthdays to a 4 year old,script,low,medium,medium,low,everyday
explain-like-4,how to explain holidays to preschoolers,script,medium,high,medium,low,seasonal
explain-like-4,how to explain recycling to a 4 year old,script,medium,medium,medium,low,easy activity
explain-like-4,how to explain trash and recycling to preschoolers,script,low,medium,medium,low,everyday
explain-like-4,how to explain traffic lights to a 4 year old,script,low,low,medium,low,everyday
explain-like-4,how to explain stop signs to preschoolers,script,low,low,medium,low,everyday
explain-like-4,how to explain trains to a 4 year old,script,low,medium,medium,low,interest topic
explain-like-4,how to explain airplanes to preschoolers,script,medium,medium,medium,low,interest topic
explain-like-4,how to explain elevators to a child,script,low,low,medium,low,everyday
explain-like-4,how to explain how cars work to a 4 year old,script,medium,medium,medium,low,interest topic
explain-like-4,how to explain why the sky is blue to a 4 year old,script,medium,high,medium,low,crowded science
explain-like-4,how to answer why questions from a 4 year old,parent guide,medium,high,medium,low,broad
explain-like-4,why does my 4 year old ask why all day,parent guide,medium,high,medium,low,parent pain
explain-like-4,questions 4 year olds ask about the world,parent guide,medium,medium,medium,low,content hub
explain-like-4,everyday science explanations for preschoolers,parent guide,medium,medium,medium,low,hub
explain-like-4,simple answers to kids why questions,parent guide,medium,high,medium,low,broad
explain-like-4,how to explain seasons to a 4 year old,script,medium,medium,medium,low,seasonal
explain-like-4,how to explain plants growing to preschoolers,script,medium,medium,medium,low,activity pairing
explain-like-4,how to explain where food comes from to a child,script,medium,medium,medium,low,everyday
explain-like-4,how to explain cooking to a 4 year old,script,low,low,medium,low,everyday
explain-like-4,how to explain melting to preschoolers,script,low,medium,medium,low,easy demo
explain-like-4,how to explain freezing to a 4 year old,script,low,medium,medium,low,easy demo
explain-like-4,how to explain loud noises to a 4 year old,script,medium,medium,medium,low,sensory
explain-like-4,how to explain fireworks to preschoolers,script,medium,medium,medium,low,seasonal fear
explain-like-4,how to explain scary news to a 4 year old,script,medium,high,low,low,sensitive
explain-like-4,how to explain moving houses to a 4 year old,script,medium,medium,medium,low,life event
explain-like-4,how to explain new sibling to a 4 year old,script,medium,high,medium,low,parenting
explain-like-4,how to explain school to a 4 year old,script,medium,medium,medium,low,transition
kids-learning-printables,free preschool curiosity printables,printable,medium,high,medium,low,narrow printable
kids-learning-printables,curiosity activities for 4 year olds printable,printable,low,medium,high,low,differentiated
kids-learning-printables,preschool observation sheet printable,printable,medium,medium,high,low,strong angle
kids-learning-printables,4 year old learning activities printable,printable,high,high,medium,low,crowded
kids-learning-printables,free printable activities for preschoolers at home,printable,high,high,medium,low,crowded
kids-learning-printables,preschool scavenger hunt printable,printable,high,high,high,low,strong but crowded
kids-learning-printables,indoor scavenger hunt printable preschool,printable,medium,high,high,low,good page
kids-learning-printables,color hunt printable for preschoolers,printable,medium,high,medium,low,crowded
kids-learning-printables,shape hunt printable for 4 year olds,printable,medium,high,medium,low,crowded
kids-learning-printables,letter hunt printable preschool,printable,medium,high,low,low,very crowded
kids-learning-printables,number hunt printable preschool,printable,medium,high,low,low,very crowded
kids-learning-printables,five senses printable for preschoolers,printable,medium,high,medium,low,education crowded
kids-learning-printables,weather observation printable preschool,printable,medium,medium,high,low,nice angle
kids-learning-printables,nature observation printable preschool,printable,medium,medium,high,low,nice angle
kids-learning-printables,backyard scavenger hunt printable preschool,printable,medium,medium,medium,low,seasonal
kids-learning-printables,apartment scavenger hunt printable kids,printable,low,medium,high,low,differentiated
kids-learning-printables,neighborhood walk printable preschool,printable,medium,medium,high,low,good utility
kids-learning-printables,grocery store scavenger hunt printable preschool,printable,medium,medium,medium,low,outside activity
kids-learning-printables,car ride observation printable kids,printable,medium,medium,medium,low,parent use case
kids-learning-printables,restaurant waiting printable preschool,printable,low,medium,medium,low,parent use case
kids-learning-printables,question cards for 4 year olds printable,printable,medium,medium,high,low,strong angle
kids-learning-printables,curiosity question cards for kids,printable,medium,medium,high,low,differentiated
kids-learning-printables,dinner table question cards preschool printable,printable,medium,medium,medium,low,family angle
kids-learning-printables,why questions for preschoolers printable,printable,medium,medium,medium,low,crossover
kids-learning-printables,conversation cards for 4 year olds printable,printable,medium,medium,medium,low,parent bonding
kids-learning-printables,preschool science observation printable,printable,medium,medium,high,low,good angle
kids-learning-printables,sink or float printable preschool,printable,medium,high,medium,low,crowded STEM
kids-learning-printables,melting ice experiment printable preschool,printable,low,medium,medium,low,specific
kids-learning-printables,magnet hunt printable preschool,printable,low,medium,medium,low,specific
kids-learning-printables,shadow observation printable preschool,printable,low,medium,medium,low,specific
kids-learning-printables,weather journal printable for 4 year old,printable,medium,medium,medium,low,seasonal
kids-learning-printables,nature journal printable preschool,printable,medium,high,medium,low,crowded
kids-learning-printables,curiosity journal printable for preschoolers,printable,medium,medium,high,low,strong angle
kids-learning-printables,one page activity printable preschool,printable,medium,high,medium,low,broad
kids-learning-printables,no prep printable activities for 4 year olds,printable,high,high,medium,low,crowded
kids-learning-printables,low prep preschool printable activities,printable,medium,high,medium,low,crowded
kids-learning-printables,rainy day printable activities preschool,printable,medium,high,medium,low,seasonal
kids-learning-printables,screen free printable activities preschool,printable,medium,high,medium,low,parent pain
kids-learning-printables,quiet time printables for 4 year olds,printable,medium,high,medium,low,parent pain
kids-learning-printables,printable activity cards for preschoolers,printable,medium,high,medium,low,crowded
kids-learning-printables,preschool activity cards printable free,printable,medium,high,low,low,crowded
kids-learning-printables,lego challenge cards preschool printable,printable,medium,medium,high,low,toy-specific
kids-learning-printables,magna tiles challenge cards printable,printable,low,medium,high,low,differentiated
kids-learning-printables,building challenge cards for preschoolers printable,printable,medium,medium,high,low,cross with building
kids-learning-printables,cardboard building challenge printable kids,printable,low,medium,medium,low,cross with building
kids-learning-printables,draw what you built printable preschool,printable,low,low,medium,low,specific
kids-learning-printables,before and after drawing printable preschool,printable,low,medium,medium,low,observation
kids-learning-printables,what changed game printable preschool,printable,low,medium,medium,low,activity
kids-learning-printables,preschool memory game printable at home,printable,medium,high,low,low,crowded
kids-learning-printables,sorting activity printable preschool household items,printable,medium,medium,medium,low,household angle
kids-learning-printables,recycling sorting printable preschool,printable,medium,medium,medium,low,theme
kids-learning-printables,kitchen science printable preschool,printable,medium,medium,medium,low,theme
kids-learning-printables,measurement printable for preschoolers at home,printable,medium,high,medium,low,education crowded
kids-learning-printables,non worksheet learning printables for preschoolers,printable,low,medium,high,low,differentiated
kids-learning-printables,play based printables for preschoolers,printable,medium,medium,high,low,differentiated
kids-learning-printables,curiosity prompts for preschoolers printable,printable,low,medium,high,low,strong angle
kids-learning-printables,preschool wonder questions printable,printable,low,medium,medium,low,nice brand angle
kids-learning-printables,printable prompts to ask preschoolers,printable,low,medium,medium,low,parent use
kids-learning-printables,feelings check in printable 4 year old,printable,medium,high,medium,low,emotions crowded
kids-learning-printables,big feelings printable preschool,printable,medium,high,low,low,mental health adjacent
kids-learning-printables,animal movement cards printable preschool,printable,medium,high,medium,low,gross motor
kids-learning-printables,indoor movement cards printable preschool,printable,medium,high,medium,low,parent pain
kids-learning-printables,gross motor activity cards printable preschool,printable,medium,high,medium,low,crowded
kids-learning-printables,fine motor activity printable preschool,printable,medium,high,low,low,crowded
kids-learning-printables,cutting practice alternatives preschool printable,printable,medium,high,low,low,education crowded
kids-learning-printables,pre writing curiosity printable preschool,printable,low,medium,low,low,unclear demand
kids-learning-printables,home preschool printable schedule,printable,medium,high,low,low,crowded
kids-learning-printables,weekly preschool activity plan printable,printable,medium,high,medium,low,crowded
kids-learning-printables,printable weekly curiosity plan preschool,printable,low,medium,high,low,differentiated
kids-learning-printables,4 year old activity planner printable,printable,medium,high,medium,low,parent use
kids-learning-printables,printable boredom busters for preschoolers,printable,medium,high,medium,low,crowded
kids-learning-printables,free printable curiosity cards for 4 year olds,printable,low,medium,high,low,strong differentiated query
kids-learning-printables,preschool printable activities using household items,printable,medium,medium,high,low,strong angle
kids-learning-printables,no printer preschool activities pdf,printable,low,medium,medium,low,odd intent
kids-learning-printables,printable preschool activities without worksheets,printable,low,medium,high,low,positioning query
