source_id,platform,source_url,embed_url,title,activity_title,materials,age,time,mess,adult_help,safety_note,kid_step_1,kid_step_2,kid_step_3,kid_step_4,tags,status
yt-magna-tiles-activities-shorts,YouTube,https://www.youtube.com/shorts/dZWsPOknGWc,https://www.youtube-nocookie.com/embed/dZWsPOknGWc,3 Easy Activities with MAGNA-TILES,Magnetic Tile Activity Set,"magnetic tiles; ball; cookie sheet",4-6,5 minutes,low,medium,Check magnet tiles and avoid small balls near younger children.,Pick an idea.,Build it.,Try it.,Change it.,"magnetic tiles; STEM; low-mess",candidate
yt-magnetic-tile-spin-wheel,YouTube,https://www.youtube.com/shorts/Xr5m5usIdfM,https://www.youtube-nocookie.com/embed/Xr5m5usIdfM,Magnetic Tiles Spin Wheel Tutorial,Magnetic Tile Spin Wheel,"magnetic tiles",4-6,5 minutes,low,medium,Adult checks stability before spinning.,Build a square.,Add pieces.,Spin gently.,Try again.,"magnetic tiles; building; STEM",review
yt-magnetic-tiles-rocket,YouTube,https://www.youtube.com/watch?v=Fre7DUZKOkI,https://www.youtube-nocookie.com/embed/Fre7DUZKOkI,Magnetic Tiles Rocket Design Tutorial,Magnetic Tile Rocket,"magnetic tiles",4-6,5 minutes,low,low,Check tiles for cracks.,Make a base.,Build up.,Add a point.,Launch pretend.,"magnetic tiles; pretend-play; building",candidate
yt-lego-learning-preschool,YouTube,https://www.youtube.com/watch?v=cSIeC-wbgI4,https://www.youtube-nocookie.com/embed/cSIeC-wbgI4,LEGO Learning Activities for Preschoolers,LEGO Color Tower,"LEGO or DUPLO",4-6,3 minutes,low,medium,Small LEGO pieces are choking hazards for younger siblings.,Pick a color.,Stack bricks.,Make it taller.,Try another color.,"lego; duplo; colors; low-mess",candidate
yt-lego-learning-play,YouTube,https://www.youtube.com/watch?v=LRUuLbaO1g4,https://www.youtube-nocookie.com/embed/LRUuLbaO1g4,3 Awesome LEGO Learning Activities,LEGO Play Set,"LEGO or DUPLO; household items",4-6,5 minutes,low,medium,Use DUPLO if younger siblings are nearby.,Pick a game.,Build it.,Try it.,Change it.,"lego; STEM; low-mess",candidate
yt-lego-tower-challenge,YouTube,https://www.youtube.com/watch?v=zZz6WV7k1y4,https://www.youtube-nocookie.com/embed/zZz6WV7k1y4,Lego Towers STEM Challenge,LEGO Tower,"LEGO or DUPLO",4-6,5 minutes,low,medium,Do not place heavy books on unstable towers for preschoolers.,Build a tower.,Make it taller.,Count bricks.,Start over.,"lego; tower; STEM",candidate
yt-lego-maze,YouTube,https://www.youtube.com/watch?v=Hwy_TfUQbio,https://www.youtube-nocookie.com/embed/Hwy_TfUQbio,How to Make a Lego Maze,LEGO Maze,"LEGO; small ball",5-7,10 minutes,low,high,Small balls and LEGO pieces need supervision.,Make walls.,Add a ball.,Tilt gently.,Fix the maze.,"lego; maze; STEM",review
yt-duplo-games,YouTube,https://www.youtube.com/watch?v=giI5GHTVl20,https://www.youtube-nocookie.com/embed/giI5GHTVl20,3 Easy LEGO DUPLO Games Ideas,DUPLO Games,"DUPLO blocks",3-5,3 minutes,low,low,Keep small LEGO away from younger kids.,Pick blocks.,Make a game.,Play it.,Switch rules.,"duplo; no-cut; low-mess",candidate
yt-block-play-benefits,YouTube,https://www.youtube.com/watch?v=q3HXNJxREy8,https://www.youtube-nocookie.com/embed/q3HXNJxREy8,Play and Learn with Building Blocks,Block Play,"blocks",2-5,2 minutes,low,low,Keep block towers low around toddlers.,Pick blocks.,Build up.,Knock down.,Build again.,"blocks; toddlers; 2-minute",candidate
yt-creative-block-ideas,YouTube,https://www.youtube.com/watch?v=lLL_HnI8RZU,https://www.youtube-nocookie.com/embed/lLL_HnI8RZU,Creative Building Block Ideas for Toddlers,Block House,"blocks; toy animal",3-5,4 minutes,low,low,Keep towers low.,Make walls.,Add a door.,Put toy inside.,Open it.,"blocks; pretend-play; building",candidate
yt-block-tower-kids,YouTube,https://www.youtube.com/watch?v=cY0NCZYzGpQ,https://www.youtube-nocookie.com/embed/cY0NCZYzGpQ,Building Blocks For Kids Blocks Tower,Block Tower,"blocks",2-5,2 minutes,low,low,Use soft or lightweight blocks if knocking down.,Stack blocks.,Make it tall.,Count them.,Knock down.,"blocks; tower; 2-minute",candidate
yt-blanket-fort,YouTube,https://www.youtube.com/watch?v=3MMuRtQwQtk,https://www.youtube-nocookie.com/embed/3MMuRtQwQtk,How to Build a Blanket Fort,Blanket Fort,"blanket; chairs; pillows",4-6,10 minutes,medium,high,Adult checks stability and airflow.,Pick a blanket.,Make a roof.,Add pillows.,Crawl in.,"fort; rainy-day; adult-help",review
yt-paper-cup-rocket,YouTube,https://www.youtube.com/shorts/PvjFG4lHjj8,https://www.youtube-nocookie.com/embed/PvjFG4lHjj8,DIY Paper Cup Rocket Launch,Paper Cup Rocket,"paper cup; balloon or rubber band",5-7,10 minutes,medium,high,Adult handles rubber bands and launch force.,Make rocket.,Pull gently.,Let go.,Try again.,"cups; STEM; launch; adult-help",review
yt-paper-cup-top,YouTube,https://www.youtube.com/shorts/kq2wnLm3wmQ,https://www.youtube-nocookie.com/embed/kq2wnLm3wmQ,Spinning Paper Cup Top,Paper Cup Spinner,"paper cup; marker; stick",5-7,10 minutes,medium,high,Adult handles poking holes or sharp parts.,Decorate cup.,Spin it.,Watch colors.,Try again.,"cups; spinner; adult-help",review
yt-paper-cup-flower,YouTube,https://www.youtube.com/shorts/gdyUa2HvToI,https://www.youtube-nocookie.com/embed/gdyUa2HvToI,Paper Cup Flower Craft,Paper Cup Flower,"paper cup; paper; marker",4-6,10 minutes,medium,medium,Adult helps with cutting if needed.,Pick a cup.,Add petals.,Draw face.,Show it.,"cups; craft; spring",candidate
yt-paper-cup-claw,YouTube,https://www.youtube.com/shorts/ABAQi9sRSHQ,https://www.youtube-nocookie.com/embed/ABAQi9sRSHQ,DIY Claw Machine Grabber,Paper Cup Claw,"paper cup; straw; string",6-8,20 minutes,medium,high,Too complex for preschool starter catalog.,Find cup.,Add handle.,Grab toy.,Try again.,"cups; STEM; complex",reject
yt-spoon-transfer,YouTube,https://www.youtube.com/shorts/kWUPqtjhXoM,https://www.youtube-nocookie.com/embed/kWUPqtjhXoM,Montessori Spoon Transfer Activity,Spoon Transfer,"spoon; two bowls; large objects",3-5,2 minutes,low,medium,Use large non-choking objects.,Fill a bowl.,Scoop one thing.,Move it.,Do it again.,"fine motor; household; 2-minute",candidate
yt-shape-stamping,YouTube,https://www.youtube.com/shorts/kLiTleTMQBA,https://www.youtube-nocookie.com/embed/kLiTleTMQBA,Shape Stamping with Household Items,Shape Stamps,"household objects; washable paint; paper",3-5,10 minutes,medium,medium,Use washable paint and protect table.,Pick a shape.,Dip gently.,Press paper.,Make more.,"art; shapes; medium-mess",candidate
yt-mess-free-painting,YouTube,https://www.youtube.com/shorts/fja3MYN2upU,https://www.youtube-nocookie.com/embed/fja3MYN2upU,Mess-Free Baby Painting,Bag Painting,"paint; zip bag; paper",2-5,5 minutes,low,medium,Seal bag well and supervise.,Add paint.,Close bag.,Squish colors.,Look at art.,"art; low-mess; sensory",candidate
yt-paint-without-brush,YouTube,https://www.youtube.com/shorts/g4EDAaGC9F4,https://www.youtube-nocookie.com/embed/g4EDAaGC9F4,Paint without a Brush,Tool Painting,"washable paint; household tools; paper",3-5,10 minutes,medium,medium,Use washable paint and safe tools.,Pick a tool.,Dip paint.,Press paper.,Try another.,"art; medium-mess; household",candidate
yt-peel-the-tape,YouTube,https://www.youtube.com/shorts/QGDxtZwES7g,https://www.youtube-nocookie.com/embed/QGDxtZwES7g,Peel the Tape Activity,Peel The Tape,"painter tape; toys",2-4,2 minutes,low,high,Tape can be a choking hazard; supervise closely.,Stick tape.,Hide a toy.,Peel tape.,Find toy.,"tape; fine motor; toddler",review
yt-tape-resist-snowflake,YouTube,https://www.youtube.com/shorts/Mov9U200BRo,https://www.youtube-nocookie.com/embed/Mov9U200BRo,Tape Resist Snowflake Craft,Tape Snowflake,"painter tape; paper; paint",4-6,15 minutes,medium,medium,Use washable paint and help peel tape.,Make tape lines.,Paint paper.,Let it dry.,Peel tape.,"tape; art; winter",candidate
yt-box-robot,YouTube,https://www.youtube.com/shorts/9qhoxVA68NA,https://www.youtube-nocookie.com/embed/9qhoxVA68NA,Easy Recycled Toy and STEM Activity,Recycle Toy,"recycling items; tape",4-6,10 minutes,medium,high,Adult checks sharp edges and tapes pieces.,Pick recycling.,Stack pieces.,Tape them.,Play.,"recycling; STEM; adult-help",review
yt-cardboard-city-traffic,YouTube,https://www.youtube.com/shorts/iF-oa1usIpY,https://www.youtube-nocookie.com/embed/iF-oa1usIpY,Creative Cardboard City Traffic Fun,Cardboard City,"cardboard; toy cars; markers",4-6,10 minutes,medium,medium,Adult handles cutting if needed.,Make roads.,Add buildings.,Drive cars.,Move signs.,"cardboard; toy cars; pretend-play",candidate
yt-cardboard-car-traffic,YouTube,https://www.youtube.com/shorts/2US9vuUjuC0,https://www.youtube-nocookie.com/embed/2US9vuUjuC0,Cardboard Car Traffic Lesson,Cardboard Traffic Play,"cardboard; toy cars",4-6,10 minutes,medium,medium,Keep road-safety teaching simple and playful.,Make a road.,Add cars.,Stop and go.,Try again.,"cardboard; toy cars; traffic",candidate
yt-random-household-water,YouTube,https://www.youtube.com/shorts/FJ3vD81GLaw,https://www.youtube-nocookie.com/embed/FJ3vD81GLaw,Kids Activities with Random Household Objects,Water Table Construction,"water table; toys",3-5,10 minutes,high,medium,Water play needs direct supervision.,Add water.,Add trucks.,Scoop and dump.,Clean up.,"water; sensory; high-mess",review
yt-snow-day-activities,YouTube,https://www.youtube.com/shorts/IwN3PX35qhM,https://www.youtube-nocookie.com/embed/IwN3PX35qhM,7 Snow-Day Activities for Preschoolers,Snow Day Picks,"household items",3-5,5 minutes,low,medium,Review each activity separately.,Pick one game.,Find things.,Play it.,Clean up.,"rainy-day; snow-day; household",review
