source_set,theme,source_seed,query,intent,us_volume,kd_percent,cpc_usd,updated,source,database,metric_month,collected_on,evidence_class
core,games-at-home,,"games to play with kids no equipment",Informational,10,16,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,games-at-home,,"quick games to play with kids",Informational,20,15,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-broad,,"family board games",Commercial,8100,44,0.19,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-broad,,"best family board games",Commercial,49500,46,0.18,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-broad,,"board games for kids",Informational;Commercial,8100,21,0.21,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-broad,,"best board games for kids",Commercial,1300,16,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-broad,,"family board games for kids",Commercial,40,29,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-broad,,"easy board games for kids",Commercial,30,26,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-broad,,"cooperative board games for kids",Commercial,110,21,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-broad,,"educational board games for kids",Commercial,320,35,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-broad,,"board games for young children",Informational;Commercial,0,10,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-broad,,"board games for preschoolers",Informational;Commercial,720,11,0.17,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-age-household,,"board games for 3 year olds",Commercial,2400,13,0.22,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-age-household,,"best board games for 3 year olds",Commercial,480,9,0.30,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-age-household,,"board games for 4 year olds",Commercial,1900,26,0.18,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-age-household,,"best board games for 4 year olds",Commercial,720,16,0.30,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-age-household,,"board games for 5 year olds",Commercial,2900,25,0.18,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-age-household,,"best board games for 5 year olds",Commercial,1600,24,0.18,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-age-household,,"board games for 6 year olds",Informational,1300,22,0.34,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-age-household,,"best board games for 6 year olds",Commercial,1000,19,0.20,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-age-household,,"board games for kids who can't read",Informational;Commercial,n/a,19,n/a,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,board-games-age-household,,"board games for siblings different ages",Commercial,n/a,25,n/a,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,card-short-play,,"card games for kids",Informational,4400,14,0.12,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,card-short-play,,"family card games",Informational,5400,25,0.16,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,card-short-play,,"best card games for kids",Commercial,390,7,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,card-short-play,,"card games for 4 year olds",Informational,320,8,0.25,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,card-short-play,,"card games for 5 year olds",Informational;Commercial,390,4,0.24,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,card-short-play,,"board games under 30 minutes",Informational,20,10,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,card-short-play,,"quick family board games",Informational;Commercial,20,26,0.17,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,card-short-play,,"two player board games for kids",Commercial,0,19,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,card-short-play,,"board games parents enjoy",Informational,n/a,38,n/a,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,card-short-play,,"screen free games for kids",Informational,0,10,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,constraint-occasion,"rainy day activities for kids","fun rainy day activities for kids",Informational,110,15,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,constraint-occasion,"rainy day activities for kids","indoor rainy day activities for kids",Informational,70,15,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,constraint-occasion,"rainy day activities for kids","rainy day indoor activities for kids",Informational,50,20,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,constraint-occasion,"rainy day activities for kids","rainy day activities for kids at home",Informational,20,8,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,at-home,"indoor activities for kids","fun indoor activities for kids",Informational,1600,23,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,at-home,"indoor activities for kids","indoor physical activities for kids",Informational,260,20,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,at-home,"indoor activities for kids","free indoor activities for kids",Informational,170,16,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,at-home,"indoor activities for kids","active indoor games for kids",Informational,90,17,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,board-games-broad,"best family board games","best board games for families",Commercial,40500,31,0.18,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,board-games-broad,"best family board games","best family board games for all ages",Commercial,5400,24,0.17,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,board-games-broad,"best family board games","best board games for family night",Commercial,1000,31,0.23,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,board-games-broad,"best family board games","best cooperative board games for families",Commercial,170,21,0.37,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,board-games-broad,"board games for kids","math board games for kids",Informational;Commercial,210,10,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,board-games-broad,"board games for kids","fun board games for kids",Commercial,170,43,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,board-games-broad,"board games for kids","best board games for young kids",Informational;Commercial,140,21,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,board-games-broad,"board games for kids","classic board games for kids",Commercial,140,24,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,card-short-play,"card games for kids","easy card games for kids",Informational,1000,21,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,card-short-play,"card games for kids","2 player card games for kids",Informational,320,29,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,card-short-play,"card games for kids","fun card games for kids",Informational;Commercial,320,8,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
discovery,card-short-play,"card games for kids","card games for kids with a deck of cards",Informational,260,14,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
