cluster,query,intent,us_volume,kd,cpc,metric_age,source,market,database,collection_date,evidence_class,notes
rainy_craft,rainy day crafts for preschoolers,Informational,70,18,0.00,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Distinct rain-themed craft result mix; current rainy page does not satisfy it."
rainy_context,rainy day activities for 3 year olds,Informational,50,12,0.09,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Age route; not a standalone-page decision."
at_home_learning_boundary,at home activities for preschoolers,Informational,20,14,0.87,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Close to learning-at-home and broad activity intent."
indoor_owner,easy indoor activities for preschoolers,Informational,20,14,0.00,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Ease constraint inside the indoor owner."
indoor_owner,indoor activities for preschoolers at home,Informational,20,8,0.00,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"At-home modifier inside the indoor owner."
active_movement_games,indoor movement activities for preschoolers,Informational,20,10,0.77,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Movement module; do not add to gross-motor or game variants."
rainy_context,rainy day activities for 4 year olds,Informational,20,17,0.17,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Age route; not a standalone-page decision."
rainy_context,rainy day activities for 5 year olds,Informational,20,17,0.07,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Age route; not a standalone-page decision."
rainy_context,rainy day activities for kids at home,Informational,20,13,0.00,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Weather plus at-home context; broad age."
rainy_context,rainy day games for preschoolers,Informational,20,18,0.03,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Small rainy-game variant; preserve as context rather than a page total."
at_home_learning_boundary,things to do with preschoolers at home,Informational,20,21,0.32,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Broad parent wording; current at-home SERP leans learning and curriculum."
indoor_owner,quiet indoor activities for kids,Informational,0,0,0.00,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Explicit zero estimate; do not convert to unavailable or infer no real demand."
active_movement_games,active indoor activities for preschoolers,Informational,n/a,17,n/a,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Volume and CPC unavailable; preserve as n/a rather than zero."
indoor_owner,low prep indoor activities for preschoolers,Informational,n/a,19,n/a,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Volume and CPC unavailable; low-prep is a chooser constraint."
indoor_owner,no prep indoor activities for kids,Informational,n/a,15,n/a,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Volume and CPC unavailable; broad age."
indoor_owner,no prep indoor activities for preschoolers,Informational,n/a,13,n/a,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Volume and CPC unavailable; no-prep is a chooser constraint."
indoor_owner,preschool indoor activities at home,Informational,n/a,19,n/a,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Volume and CPC unavailable; close at-home indoor variant."
indoor_owner,quiet indoor activities for preschoolers,Informational,n/a,19,n/a,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Volume and CPC unavailable; quiet is a moment or energy filter."
indoor_owner,screen free indoor activities for kids,Informational,n/a,34,n/a,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Volume and CPC unavailable; screen-free is a constraint and age is broad."
indoor_owner,screen free indoor activities for preschoolers,Informational,n/a,34,n/a,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Volume and CPC unavailable; screen-free is a constraint."
