group,query,intent,volume,kd,cpc_usd,updated,source,database,metric_period,collected_on,evidence_class
"science-building","tinkering activities for kids","Informational","n/a","18","n/a","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"science-building","science experiments for preschoolers","Informational","1300","27","0.18","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"science-building","stem activities for preschoolers","Informational;Commercial","1300","19","0.66","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"science-building","science activities for 4 year olds","Informational","20","19","0.40","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"science-building","building activities for preschoolers","Informational","390","12","0.95","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"science-building","lego activities for kids","Informational","140","12","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"pretend-story-music","pretend play activities","Informational","20","20","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"pretend-story-music","imaginative play ideas","Informational","20","19","0.17","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"pretend-story-music","dramatic play activities","Informational;Commercial","20","26","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"pretend-story-music","role play activities for kids","Informational","0","0","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"pretend-story-music","storytelling activities for kids","Informational","30","20","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"pretend-story-music","creative writing for kids","Informational","210","28","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"pretend-story-music","story games for kids","Informational;Commercial","10","14","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"pretend-story-music","music activities for kids","Informational","40","15","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"pretend-story-music","music games for kids","Informational","1900","46","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"pretend-story-music","dance activities for kids","Transactional","90","15","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"pretend-story-music","sensory play activities","Informational","170","28","0.49","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"pretend-story-music","sensory activities for kids","Informational","720","23","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"explore-outings","nature activities for kids","Informational","320","14","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"explore-outings","nature activities for preschoolers","Informational","170","14","1.63","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"explore-outings","scavenger hunt for kids","Commercial","1900","26","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"explore-outings","outdoor scavenger hunt for kids","Informational;Commercial","1300","28","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"explore-outings","nature scavenger hunt","Informational","2900","24","0.81","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"explore-outings","backyard activities for kids","Informational","320","43","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"explore-outings","outdoor learning activities","Informational","210","12","0.70","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"explore-outings","kids museum activities","Commercial","0","66","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"explore-outings","field trip ideas for preschool","Informational","0","1","5.01","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"explore-outings","places to take kids","Transactional","3600","35","1.09","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"explore-outings","things to do with kids near me","Transactional","60500","17","0.96","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"explore-outings","day trips with kids","Informational","70","16","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"projects-kits","projects for kids","Informational","590","32","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"projects-kits","kids projects","Informational","590","49","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"projects-kits","long term projects for kids","Informational","0","7","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"projects-kits","weekend projects for kids","Informational","0","21","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"projects-kits","diy projects for kids","Informational","110","37","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"projects-kits","kids activity kits","Commercial","110","13","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"projects-kits","craft kits for kids","Commercial","1300","22","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"projects-kits","science kits for kids","Informational;Commercial","4400","25","1.12","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"projects-kits","stem kits for kids","Informational;Commercial","1600","33","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"projects-kits","activity books for kids","Commercial","880","9","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"projects-kits","subscription boxes for kids","Commercial","4400","20","2.30","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"projects-kits","building kits for kids","Informational;Commercial","390","19","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
